hashtag,source,target
COP27,JamesMelville,llevaj
COP27,JamesMelville,llevaj
COP27,riannuzziGPC,llevaj
COP27,DrEliDavid,llevaj
COP27,DrEliDavid,llevaj
COP27,DiEM_25,llevaj
COP27,PrisonPlanet,llevaj
COP27,DrEliDavid,llevaj
COP27,JamesMelville,llevaj
COP27,JamesMelville,llevaj
COP27,JamesMelville,llevaj
COP27,JamesMelville,llevaj
COP27,JamesMelville,llevaj
COP27,busettodavide,llevaj
COP27,JamesMelville,llevaj
COP27,JamesMelville,llevaj
COP27,JamesMelville,llevaj
COP27,TheIntlMagz,llevaj
COP27,PriceofOil,NinaPusic
COP27,LouBurrows7,NinaPusic
COP27,LaurievdBurg,NinaPusic
COP27,hindououmar,NinaPusic
COP27,vukoje_ana,NinaPusic
COP27,LossandDamage,NinaPusic
COP27,EIB,GoranRotim
COP27,TheInsiderPaper,NinoslavSafaric
COP27,HrMarkom,NinoslavSafaric
COP27,NATOpress,NinoslavSafaric
COP27,thesiriusreport,yugoslav_luka
COP27,DiEM_25,yugoslav_luka
COP27,Joyce_Karam,yugoslav_luka
COP27,KawsachunNews,yugoslav_luka
COP27,HDZ_HR,MladezO
